Epoch,Training Loss,Validation Loss,Average BPM Error,Max BPM Error,Learning Rate
1,16139.24365234375,13759.587890625,112.43585,172.261,0.001
2,16031.2490234375,13753.5322265625,112.4088,172.23547,0.001
3,15956.3876953125,13744.9228515625,112.37024,172.19972,0.001
4,16053.1357421875,13721.7685546875,112.26643,172.10457,0.001
5,15764.453125,13638.5107421875,111.89271,171.75761,0.001
6,15655.67529296875,13426.6279296875,110.935616,170.8717,0.001
7,15401.962890625,13065.466796875,109.287544,169.31485,0.001
8,15077.1611328125,12591.2412109375,107.08623,167.21902,0.001
9,14564.0654296875,11894.4736328125,103.763565,164.08656,0.001
10,13788.1376953125,10919.4658203125,98.92599,159.518,0.001
11,12348.66357421875,9613.8544921875,92.047745,153.01587,0.001
12,10897.001953125,7932.26220703125,82.337395,143.83804,0.001
13,9081.39404296875,5902.88330078125,68.79615,131.03218,0.001
14,6993.305908203125,3718.263671875,50.233723,113.46207,0.001
15,4706.52978515625,1880.5972900390625,30.413858,90.00735,0.001
16,2953.0992431640625,1276.7235107421875,32.26905,61.44201,0.001
17,3740.9354248046875,1913.3306884765625,38.527325,63.45729,0.001
18,5489.806640625,1736.5277099609375,36.483192,63.421005,0.001
19,5370.41943359375,1215.611083984375,32.0163,51.83053,0.001
20,4112.04052734375,1147.3736572265625,29.02495,65.56494,0.001
21,3405.85009765625,1390.2152099609375,27.43947,75.55314,0.001
22,3661.6256103515625,1667.0101318359375,28.731403,81.641884,0.001
23,3500.9249267578125,1797.3253173828125,30.442732,83.69976,0.001
24,3908.7525634765625,1724.3853759765625,29.760357,81.83228,0.001
25,3416.7030029296875,1552.5548095703125,27.883196,77.808365,0.001
