Epoch,Training_Loss,Validation_Loss,Avg_BPM_Error,Max_BPM_Error,Learning_Rate
1,583.8656616210938,496.67702026367186,25.293537139892578,38.23213195800781,0.00010000000000000005
2,604.0799896240235,503.07590942382814,26.108678817749023,36.289283752441406,0.00010008256220569263
3,569.2112091064453,510.52020874023435,26.535364151000977,37.47666931152344,0.00010033021852713555
4,552.95361328125,509.3132263183594,26.47307777404785,37.20831298828125,0.00010074287808854157
5,571.1372802734375,505.8763671875,26.296676635742188,36.74603271484375,0.00010132038946731692
6,550.0459503173828,500.8231506347656,25.9344482421875,36.143524169921875,0.00010206254074962486
7,540.6094390869141,499.54656982421875,25.8135929107666,36.491371154785156,0.00010296905960814628
8,573.7647399902344,498.05133056640625,25.634918212890625,37.025611877441406,0.000104039613402008
9,557.7983795166016,498.8750244140625,25.734821319580078,36.751617431640625,0.00010527380929884313
10,593.2241882324219,499.8706420898437,25.8486385345459,36.427711486816406,0.00010667119441893854
11,582.2481658935546,498.4018493652344,25.68804359436035,36.89531707763672,0.00010823125600141524
12,561.2762664794922,498.6319519042969,25.71856689453125,36.794097900390625,0.00010995342159238338
13,592.8003601074219,498.24791259765624,25.672861099243164,36.93882751464844,0.0001118370592549995
14,564.1098754882812,498.0812072753906,25.648733139038086,37.022979736328125,0.00011388147780135179
15,565.0955505371094,497.76646728515624,25.601470947265625,37.15741729736328,0.00011608592704608664
16,575.1297607421875,497.9488586425781,25.6276798248291,37.0758056640625,0.00011844959808168418
17,586.3215728759766,497.6374816894531,25.572444915771484,37.241668701171875,0.00012097162357528135
18,553.5310821533203,501.5408630371094,26.005569458007812,36.03392028808594,0.0001236510780869331
19,565.8313873291015,506.79002075195314,26.36246109008789,37.00108337402344,0.0001264869784091974
20,531.1291290283203,500.9851318359375,25.95513343811035,36.146087646484375,0.00012947828392791507
21,579.3163299560547,497.9898681640625,25.628692626953125,37.09538269042969,0.0001326238970040574
22,596.1019134521484,500.38047485351564,25.90665626525879,36.307861328125,0.00013592266337649633
23,547.2111511230469,498.9825866699219,25.756811141967773,36.72575378417969,0.00013937337258555262
24,568.9519317626953,501.177294921875,25.976032257080078,36.09088134765625,0.00014297475841716623
25,553.8202911376953,503.8063110351562,26.176864624023438,36.50959014892578,0.00014672549936752498
26,577.8524047851563,503.4631652832031,26.15311050415039,36.44140625,0.00015062421912798054
27,542.809213256836,502.0557434082031,26.050811767578125,36.16082763671875,0.00015466948709007592
28,566.9444122314453,501.4202026367187,26.001827239990234,36.010406494140625,0.0001588598188704978
29,579.4674987792969,503.2052978515625,26.139400482177734,36.40589904785156,0.00016319367685575955
30,580.3775421142578,501.89942626953126,26.043140411376953,36.12748718261719,0.0001676694707664195
31,570.309780883789,500.7688049316406,25.946163177490234,36.178306579589844,0.00017228555824062245
32,574.0936065673828,498.5345947265625,25.70735740661621,36.859039306640625,0.00017704024543675246
33,572.77158203125,497.81312255859376,25.607177734375,37.1290283203125,0.00018193178765497703
34,557.4537048339844,500.87169189453124,25.952173233032227,36.15003967285156,0.00018695838997745287
35,580.6582763671875,503.08576049804685,26.1289005279541,36.35942840576172,0.00019211820792695811
36,573.764028930664,502.0112731933594,26.047510147094727,36.1268310546875,0.00019740934814371119
37,570.98251953125,501.67908935546876,26.020435333251953,36.051414489746094,0.00020282986908012565
38,573.4400329589844,503.6029052734375,26.165292739868164,36.465911865234375,0.00020837778171324832
39,563.8405731201171,503.713134765625,26.1731014251709,36.486671447753906,0.00021405105027461687
40,553.83837890625,501.1661315917969,25.97820472717285,36.071128845214844,0.00021984759299727174
41,539.1075225830078,500.1903015136719,25.8895206451416,36.32684326171875,0.00022576528287964587
42,552.6606872558593,500.30682373046875,25.902019500732422,36.298370361328125,0.00023180194846605365
43,547.7127990722656,502.5996154785156,26.09488296508789,36.27648162841797,0.00023795537464349123
44,562.5343231201172,506.20653076171874,26.335216522216797,36.961669921875,0.00024422330345445754
45,562.5444732666016,505.3927429199219,26.2835750579834,36.805816650390625,0.00025060343492549564
46,583.0559265136719,504.7003173828125,26.23885154724121,36.67701721191406,0.0002570934279111529
47,568.4850158691406,503.6565002441406,26.168292999267578,36.47386169433594,0.0002636909009530481
48,554.1219879150391,501.31874389648436,25.990550994873047,36.03117370605469,0.0002703934331537306
49,567.4441619873047,504.4953979492187,26.22613525390625,36.64117431640625,0.0002771985650650129
50,558.9230743408203,509.0914367675781,26.495391845703125,37.410499572753906,0.00028410379959044774
51,551.1243041992187,507.93602294921874,26.435216903686523,37.25086975097656,0.00029110660290162073
52,560.0060180664062,502.9995178222656,26.12494468688965,36.36482238769531,0.00029820440536792114
53,558.8690856933594,498.1986022949219,25.666400909423828,36.964866638183594,0.00030539460249945057
54,570.0897399902344,499.08672485351565,25.7784423828125,36.6546630859375,0.00031267455590272184
55,576.6759429931641,497.32692260742186,25.52768898010254,37.376708984375,0.0003200415942488004
