Epoch,Training_Loss,Validation_Loss,Avg_BPM_Error,Max_BPM_Error,Learning_Rate
1,14830.588439941406,15459.390625,121.46538,152.07301,0.0005
2,16282.275512695312,15433.349609375,121.355,151.88016,0.0005
3,16415.04248046875,15146.21875,120.14419,150.13708,0.0005
4,14771.244750976562,14202.6728515625,116.08607,146.59338,0.0005
5,13825.201171875,11952.248046875,105.76696,138.78067,0.0005
6,10024.964294433594,7602.5595703125,82.012856,119.872925,0.0005
7,5703.228790283203,2260.834228515625,41.889492,79.061165,0.0005
8,2541.359420776367,1353.2977294921875,29.235107,81.47374,0.0005
9,2035.6122999191284,933.1685791015625,26.979797,55.98754,0.0005
10,1807.953598022461,1182.0946044921875,30.755108,54.484207,0.0005
11,1691.1095695495605,863.1166381835938,26.75598,48.825714,0.0005
12,2031.8262176513672,811.6693725585938,25.664822,52.51857,0.0005
13,2074.205825805664,903.3742065429688,27.19159,48.819214,0.0005
14,1922.658618927002,867.0841064453125,26.276625,53.894485,0.0005
15,2119.7804107666016,864.043701171875,25.796192,60.33844,0.0005
16,1852.9076817035675,860.8389892578125,26.172916,55.116295,0.0005
17,1777.3729209899902,912.4556274414062,27.209627,49.607964,0.0005
18,1927.9607391357422,841.806396484375,25.960688,53.82299,0.0005
19,1806.9251174926758,932.7440185546875,27.701462,46.2659,0.00025
20,2293.408935546875,977.8186645507812,28.163042,48.160866,0.00025
21,1751.8877410888672,941.6837768554688,27.583563,48.65914,0.00025
22,1582.7804718017578,898.3356323242188,26.63358,54.205276,0.00025
23,1491.3967361450195,915.7605590820312,26.819773,54.518723,0.00025
24,1477.5050735473633,936.83349609375,27.225962,51.694595,0.00025
25,2090.919479370117,972.2785034179688,27.810892,49.266052,0.000125
26,1830.165828704834,960.2918701171875,27.667013,49.638794,0.000125
27,1468.3058013916016,958.8936157226562,27.705286,49.092857,0.000125
28,1840.9289093017578,942.2515258789062,27.536,49.244774,0.000125
29,1952.119514465332,934.462158203125,27.420946,49.669495,0.000125
30,2718.314712524414,888.7540893554688,26.661276,52.245316,0.000125
31,1841.70947265625,870.7610473632812,26.324057,53.482925,6.25e-05
32,1987.8719482421875,879.462646484375,26.487844,52.76763,6.25e-05
33,1438.565712928772,876.111572265625,26.41207,53.0363,6.25e-05
34,1576.713623046875,881.2276000976562,26.533987,52.57524,6.25e-05
35,2270.343063354492,885.4995727539062,26.668867,51.905807,6.25e-05
36,1654.4378776550293,892.0193481445312,26.765442,51.701714,6.25e-05
37,1552.456527709961,895.5408935546875,26.845493,51.35163,3.125e-05
38,1619.2541961669922,896.1870727539062,26.857655,51.307007,3.125e-05
39,1928.1901321411133,895.62646484375,26.870178,51.14894,3.125e-05
40,1641.782148361206,908.8016357421875,27.112316,50.200584,3.125e-05
41,1411.9085807800293,913.3117065429688,27.183233,49.95816,3.125e-05
42,1719.515365600586,918.836669921875,27.266407,49.68209,3.125e-05
43,2014.6345520019531,923.2881469726562,27.320667,49.57923,1.5625e-05
44,1829.4642639160156,920.0279541015625,27.265593,49.809853,1.5625e-05
45,1571.2235565185547,913.619873046875,27.158976,50.22345,1.5625e-05
46,1524.8259811401367,904.7034301757812,27.00491,50.803604,1.5625e-05
47,2284.8145904541016,898.98193359375,26.895914,51.23369,1.5625e-05
48,2709.563430786133,894.9144287109375,26.823626,51.47896,1.5625e-05
49,1781.147102355957,897.7181396484375,26.884634,51.215668,7.8125e-06
50,1421.0058937072754,898.0641479492188,26.89053,51.19654,7.8125e-06
51,1694.7591247558594,899.9166259765625,26.924734,51.0699,7.8125e-06
52,2164.9313201904297,900.7495727539062,26.934174,51.063988,7.8125e-06
53,1661.4285278320312,898.9996337890625,26.89509,51.24234,7.8125e-06
54,1951.2414016723633,897.0389404296875,26.856567,51.3929,7.8125e-06
55,2012.7069244384766,898.0035400390625,26.878336,51.29534,3.90625e-06
56,1181.1831092834473,898.9765625,26.894968,51.241287,3.90625e-06
57,1885.7180480957031,900.2609252929688,26.919514,51.14669,3.90625e-06
58,1738.6435546875,901.3320922851562,26.940737,51.06009,3.90625e-06
59,1825.642578125,902.1727294921875,26.953604,51.024597,3.90625e-06
60,1410.2196960449219,901.9918823242188,26.950909,51.031654,3.90625e-06
61,1543.7218170166016,902.4019775390625,26.959951,50.98992,1.953125e-06
62,1907.6512069702148,902.501708984375,26.962969,50.972588,1.953125e-06
63,1612.4479675292969,902.6856689453125,26.96761,50.94857,1.953125e-06
64,1524.408187866211,903.0081787109375,26.973953,50.92224,1.953125e-06
65,1542.7149047851562,903.2630004882812,26.97844,50.906044,1.953125e-06
66,1911.0390930175781,903.02294921875,26.97403,50.922943,1.953125e-06
67,1549.7806854248047,903.140869140625,26.976702,50.91017,9.765625e-07
68,2384.0245666503906,902.7839965820312,26.970947,50.92814,9.765625e-07
69,2276.591278076172,902.3212890625,26.963482,50.951393,9.765625e-07
70,2112.761764526367,901.8577880859375,26.95527,50.981003,9.765625e-07
71,1279.0474853515625,901.3906860351562,26.94663,51.013916,9.765625e-07
72,1280.6366806030273,901.16455078125,26.942322,51.030907,9.765625e-07
73,2211.2046813964844,901.0974731445312,26.941101,51.035393,4.8828125e-07
74,1423.793312072754,900.9429931640625,26.938482,51.044106,4.8828125e-07
75,1646.3629760742188,900.968994140625,26.939388,51.038597,4.8828125e-07
76,1618.5177841186523,900.960693359375,26.939283,51.038734,4.8828125e-07
77,1562.1696510314941,901.0147094726562,26.940138,51.03624,4.8828125e-07
78,1859.6815643310547,901.076904296875,26.94137,51.03119,4.8828125e-07
79,1629.9674530029297,901.084716796875,26.941423,51.031418,2.44140625e-07
80,2121.490821838379,900.9744873046875,26.939438,51.03866,2.44140625e-07
81,1649.0759582519531,900.89306640625,26.938063,51.04319,2.44140625e-07
82,1525.052146911621,900.8724365234375,26.937622,51.045143,2.44140625e-07
83,1990.7856903076172,900.869873046875,26.937529,51.045753,2.44140625e-07
84,1755.1224212646484,900.8013916015625,26.9362,51.051056,2.44140625e-07
85,1851.1042098999023,900.7679443359375,26.935669,51.052658,1.220703125e-07
86,1751.8809356689453,900.7210693359375,26.93486,51.055367,1.220703125e-07
87,1807.508285522461,900.6768188476562,26.934156,51.05748,1.220703125e-07
88,1356.4069519042969,900.6564331054688,26.933828,51.058487,1.220703125e-07
89,1970.042221069336,900.6427001953125,26.93361,51.059128,1.220703125e-07
90,1704.8592071533203,900.6378173828125,26.933462,51.05995,1.220703125e-07
91,2187.383331298828,900.6233520507812,26.933224,51.06073,6.103515625e-08
92,1676.4641571044922,900.614501953125,26.933075,51.061172,6.103515625e-08
93,1881.2437438964844,900.6064453125,26.93295,51.061546,6.103515625e-08
94,1751.6202239990234,900.5841674804688,26.932554,51.062935,6.103515625e-08
95,1550.1864013671875,900.5540771484375,26.932013,51.064964,6.103515625e-08
96,1458.5400390625,900.5208740234375,26.931406,51.06717,6.103515625e-08
97,1903.1510162353516,900.5035400390625,26.931087,51.068344,3.0517578125e-08
98,1633.5946426391602,900.4873657226562,26.9308,51.069397,3.0517578125e-08
99,1677.165771484375,900.488037109375,26.930819,51.069252,3.0517578125e-08
100,1907.4868469238281,900.4768676757812,26.930637,51.069817,3.0517578125e-08
